Model,F1_train,F1_test
Experiment1+SMOTE,0.6794785833977597,0.46468190761127404
Experiment1,0.6763321975621507,0.4972635398150141
Experiment2+SMOTE,0.7085597250822642,0.47925056726593757
Experiment2,0.6892718232226296,0.5015513184996172
Experiment3+SMOTE,0.7640560525222784,0.5055907671999206
Experiment3,0.750484573090727,0.48588166477595013
Experiment4+SMOTE,0.7721722903675717,0.4694985046326539
Experiment4,0.7369388420937047,0.48980442200069646
Experiment5+SMOTE,0.7741284530667465,0.4792253177557161
Experiment5,0.7530958730085846,0.4974296455760781
